PA0041	gnl|AGSH|F1S1R1D1B1P1A09_41	98.952	10600	3722	3722	3683	adhesin	
PA3841	gnl|AGSH|F1S1R1D1B1P1A09_3	99.413	1362	493880	1362	1354	toxin	exoS
PA3876	gnl|AGSH|F1S1R1D1B1P1A09_3	100.0	1407	493880	1407	1407	other	narK2
PA4033	gnl|AGSH|F1S1R1D1B1P1A09_17	99.63	270	176513	270	269	exopolysaccharide	mucE
PA4108	gnl|AGSH|F1S1R1D1B1P1A09_17	99.759	1245	176513	1245	1242	other	
PA4109	gnl|AGSH|F1S1R1D1B1P1A09_17	99.888	891	176513	891	890	quorum sensing	ampR
PA4115	gnl|AGSH|F1S1R1D1B1P1A09_17	99.423	1386	176513	1386	1378	other	
PA4150	gnl|AGSH|F1S1R1D1B1P1A09_23	99.077	975	77400	975	966	other	
PA4175	gnl|AGSH|F1S1R1D1B1P1A09_23	99.496	1389	77400	1389	1382	protease	piv
PA4197	gnl|AGSH|F1S1R1D1B1P1A09_23	99.824	2277	77400	2277	2273	other	bfiS
PA4209	gnl|AGSH|F1S1R1D1B1P1A09_23	99.204	1005	77400	1005	997	toxin	phzM
PA4210	gnl|AGSH|F1S1R1D1B1P1A09_23	99.182	489	77400	489	485	toxin	phzA1
PA4211	gnl|AGSH|F1S1R1D1B1P1A09_23	98.16	489	77400	489	480	toxin	phzB1
PA4212	gnl|AGSH|F1S1R1D1B1P1A09_70	99.724	1218	725	725	723	toxin	phzC1
PA4213	gnl|AGSH|F1S1R1D1B1P1A09_62	99.029	624	992	412	408	toxin	phzD1
PA4214	gnl|AGSH|F1S1R1D1B1P1A09_61	99.629	1884	1079	1079	1075	toxin	phzE1
PA4215	gnl|AGSH|F1S1R1D1B1P1A09_82	99.367	837	569	474	471	toxin	phzF1
PA4216	gnl|AGSH|F1S1R1D1B1P1A09_86	100.0	645	540	516	516	toxin	phzG1
PA4217	gnl|AGSH|F1S1R1D1B1P1A09_29	99.007	1209	47908	1209	1197	toxin	phzS
PA4221	gnl|AGSH|F1S1R1D1B1P1A09_29	99.676	2163	47908	2163	2156	siderophores	fptA
PA4222	gnl|AGSH|F1S1R1D1B1P1A09_29	99.536	1725	47908	1725	1717	siderophores	
PA4223	gnl|AGSH|F1S1R1D1B1P1A09_29	99.416	1713	47908	1713	1703	siderophores	
PA4224	gnl|AGSH|F1S1R1D1B1P1A09_29	98.952	1050	47908	1050	1039	siderophores	pchG
PA4225	gnl|AGSH|F1S1R1D1B1P1A09_29	99.632	5430	47908	5430	5410	siderophores	pchF
PA4226	gnl|AGSH|F1S1R1D1B1P1A09_29	99.467	4317	47908	4317	4294	siderophores	pchE
PA4227	gnl|AGSH|F1S1R1D1B1P1A09_29	99.439	891	47908	891	886	siderophores	pchR
PA4228	gnl|AGSH|F1S1R1D1B1P1A09_29	99.209	1644	47908	1644	1631	siderophores	pchD
PA4229	gnl|AGSH|F1S1R1D1B1P1A09_29	99.735	756	47908	756	754	siderophores	pchC
PA4230	gnl|AGSH|F1S1R1D1B1P1A09_29	99.673	306	47908	306	305	siderophores	pchB
PA4231	gnl|AGSH|F1S1R1D1B1P1A09_29	99.511	1431	47908	1431	1424	siderophores	pchA
PA4295	gnl|AGSH|F1S1R1D1B1P1A09_2	98.344	483	509163	483	475	other	fppA
PA4446	gnl|AGSH|F1S1R1D1B1P1A09_2	99.744	1170	509163	1170	1167	exopolysaccharide	algW
PA4488	gnl|AGSH|F1S1R1D1B1P1A09_2	99.758	1650	509163	1650	1646	other	magE
PA4489	gnl|AGSH|F1S1R1D1B1P1A09_2	99.626	4551	509163	4551	4534	other	magD
PA4491	gnl|AGSH|F1S1R1D1B1P1A09_2	99.831	1770	509163	1770	1767	other	magB
PA4526	gnl|AGSH|F1S1R1D1B1P1A09_15	92.0	1701	196885	50	46	surface appendages	pilB
PA4528	gnl|AGSH|F1S1R1D1B1P1A09_2	99.656	873	509163	873	870	surface appendages	pilD
PA4541	gnl|AGSH|F1S1R1D1B1P1A09_2	98.682	4254	509163	2808	2771	protease	lepA
PA4546	gnl|AGSH|F1S1R1D1B1P1A09_2	99.812	1593	509163	1593	1590	surface appendages	pilS
PA4547	gnl|AGSH|F1S1R1D1B1P1A09_2	99.925	1338	509163	1338	1337	surface appendages	pilR
PA4549	gnl|AGSH|F1S1R1D1B1P1A09_2	99.412	510	509163	510	507	surface appendages	fimT
PA4550	gnl|AGSH|F1S1R1D1B1P1A09_2	100.0	507	509163	507	507	surface appendages	fimU
PA4551	gnl|AGSH|F1S1R1D1B1P1A09_2	99.821	558	509163	558	557	surface appendages	pilV
PA4552	gnl|AGSH|F1S1R1D1B1P1A09_2	95.879	825	509163	825	791	surface appendages	pilW
PA4553	gnl|AGSH|F1S1R1D1B1P1A09_2	100.0	588	509163	588	588	surface appendages	pilX
PA4554	gnl|AGSH|F1S1R1D1B1P1A09_2	95.557	3486	509163	2926	2796	surface appendages	pilY1
PA4555	gnl|AGSH|F1S1R1D1B1P1A09_2	99.713	348	509163	348	347	surface appendages	pilY2
PA4556	gnl|AGSH|F1S1R1D1B1P1A09_2	99.765	426	509163	426	425	surface appendages	pilE
PA4564	gnl|AGSH|F1S1R1D1B1P1A09_2	99.785	465	509163	465	464	other	
PA4692	gnl|AGSH|F1S1R1D1B1P1A09_12	99.704	1014	228522	1014	1011	other	
PA4725	gnl|AGSH|F1S1R1D1B1P1A09_12	99.051	2952	228522	2952	2924	other	cbrA
PA4764	gnl|AGSH|F1S1R1D1B1P1A09_12	99.753	405	228522	405	404	other	fur
PA4781	gnl|AGSH|F1S1R1D1B1P1A09_12	99.915	1182	228522	1182	1181	other	
PA4854	gnl|AGSH|F1S1R1D1B1P1A09_12	99.938	1608	228522	1608	1607	other	purH
PA4855	gnl|AGSH|F1S1R1D1B1P1A09_12	100.0	1290	228522	1290	1290	other	purD
PA4856	gnl|AGSH|F1S1R1D1B1P1A09_12	99.753	2829	228522	2829	2822	other	retS
PA4887	gnl|AGSH|F1S1R1D1B1P1A09_12	99.544	1317	228522	1317	1311	other	
PA4944	gnl|AGSH|F1S1R1D1B1P1A09_9	99.598	249	312310	249	248	other	hfq
PA4953	gnl|AGSH|F1S1R1D1B1P1A09_9	99.138	1044	312310	1044	1035	surface appendages	motB
PA4954	gnl|AGSH|F1S1R1D1B1P1A09_9	97.887	852	312310	852	834	surface appendages	motA
PA5017	gnl|AGSH|F1S1R1D1B1P1A09_9	100.0	2700	312310	2700	2700	other	dipA
PA5018	gnl|AGSH|F1S1R1D1B1P1A09_9	99.537	648	312310	648	645	other	msrA
PA5040	gnl|AGSH|F1S1R1D1B1P1A09_9	97.626	2145	312310	2148	2097	surface appendages	pilQ
PA5041	gnl|AGSH|F1S1R1D1B1P1A09_9	99.81	525	312310	525	524	surface appendages	pilP
PA5042	gnl|AGSH|F1S1R1D1B1P1A09_9	99.199	624	312310	624	619	surface appendages	pilO
PA5043	gnl|AGSH|F1S1R1D1B1P1A09_9	99.832	597	312310	597	596	surface appendages	pilN
PA5044	gnl|AGSH|F1S1R1D1B1P1A09_9	99.718	1065	312310	1065	1062	surface appendages	pilM
PA5078	gnl|AGSH|F1S1R1D1B1P1A09_9	99.683	1578	312310	1578	1573	other	opgG
PA5112	gnl|AGSH|F1S1R1D1B1P1A09_9	99.176	1941	312310	1941	1925	other	estA
PA5117	gnl|AGSH|F1S1R1D1B1P1A09_9	99.949	1953	312310	1953	1952	other	typA
PA5131	gnl|AGSH|F1S1R1D1B1P1A09_9	99.806	1548	312310	1548	1545	other	pgm
PA5134	gnl|AGSH|F1S1R1D1B1P1A09_9	99.695	1311	312310	1311	1307	protease	ctpA
PA5253	gnl|AGSH|F1S1R1D1B1P1A09_15	99.339	1059	196885	1059	1052	exopolysaccharide	algP
PA5255	gnl|AGSH|F1S1R1D1B1P1A09_15	99.793	483	196885	483	482	exopolysaccharide	algQ
PA5261	gnl|AGSH|F1S1R1D1B1P1A09_15	100.0	747	196885	747	747	exopolysaccharide	algR
PA5262	gnl|AGSH|F1S1R1D1B1P1A09_15	100.0	1076	196885	1076	1076	exopolysaccharide	fimS
PA5272	gnl|AGSH|F1S1R1D1B1P1A09_15	99.404	2853	196885	2853	2836	other	cyaA
PA5312	gnl|AGSH|F1S1R1D1B1P1A09_15	99.665	1494	196885	1494	1489	other	pauC
PA5322	gnl|AGSH|F1S1R1D1B1P1A09_15	99.655	2607	196885	2607	2598	exopolysaccharide	algC
PA5327	gnl|AGSH|F1S1R1D1B1P1A09_15	99.699	1329	196885	1329	1325	other	sphC
PA5338	gnl|AGSH|F1S1R1D1B1P1A09_15	99.62	2106	196885	2106	2098	quorum sensing	spoT
PA5344	gnl|AGSH|F1S1R1D1B1P1A09_15	99.893	933	196885	933	932	other	oxyR
PA5437	gnl|AGSH|F1S1R1D1B1P1A09_14	99.145	936	211001	936	928	other	
PA5441	gnl|AGSH|F1S1R1D1B1P1A09_14	99.682	2202	211001	2202	2195	other	
PA5449	gnl|AGSH|F1S1R1D1B1P1A09_14	99.638	1383	211001	1383	1378	other	wbpX
PA5531	gnl|AGSH|F1S1R1D1B1P1A09_14	98.353	1029	211001	1032	1015	other	tonB1
